#Step       Time (ps)  Kinetic (Eh)    Potential (Eh)        Total (Eh)     Temp. (K)    Restraint (Eh)
 266           0.0266    0.11832941      -15.62869773      -15.51036832        293.06        0.00000000
 267           0.0267    0.12318656      -15.62910815      -15.50592159        305.09        0.00000000
 268           0.0268    0.10714714      -15.62863305      -15.52148591        265.37        0.00000000
 269           0.0269    0.12030867      -15.62892673      -15.50861806        297.96        0.00000000
 270           0.0270    0.12598954      -15.62905876      -15.50306922        312.03        0.00000000
 271           0.0271    0.10821216      -15.62899739      -15.52078523        268.01        0.00000000
 272           0.0272    0.11510930      -15.62858105      -15.51347174        285.09        0.00000000
 273           0.0273    0.12270455      -15.62969164      -15.50698708        303.90        0.00000000
 274           0.0274    0.10344827      -15.62972513      -15.52627686        256.21        0.00000000
 275           0.0275    0.13097456      -15.62959200      -15.49861744        324.38        0.00000000
 276           0.0276    0.11901446      -15.62924786      -15.51023340        294.76        0.00000000
 277           0.0277    0.13600056      -15.62954760      -15.49354704        336.83        0.00000000
 278           0.0278    0.12499443      -15.62905965      -15.50406521        309.57        0.00000000
 279           0.0279    0.10936426      -15.62897979      -15.51961553        270.86        0.00000000
 280           0.0280    0.10149874      -15.62939441      -15.52789567        251.38        0.00000000
 281           0.0281    0.12280303      -15.62927356      -15.50647053        304.14        0.00000000
 282           0.0282    0.11487887      -15.62955067      -15.51467180        284.52        0.00000000
 283           0.0283    0.12128618      -15.62989650      -15.50861032        300.39        0.00000000
 284           0.0284    0.11178053      -15.62925886      -15.51747833        276.84        0.00000000
 285           0.0285    0.10678266      -15.62895584      -15.52217318        264.47        0.00000000
 286           0.0286    0.09387945      -15.62891495      -15.53503550        232.51        0.00000000
 287           0.0287    0.11203327      -15.62863148      -15.51659820        277.47        0.00000000
 288           0.0288    0.11759221      -15.62863861      -15.51104640        291.24        0.00000000
 289           0.0289    0.13944861      -15.62804189      -15.48859328        345.37        0.00000000
 290           0.0290    0.09754404      -15.62807945      -15.53053541        241.58        0.00000000
 291           0.0291    0.11170514      -15.62794605      -15.51624091        276.66        0.00000000
 292           0.0292    0.13530273      -15.62804923      -15.49274650        335.10        0.00000000
 293           0.0293    0.10321830      -15.62783064      -15.52461234        255.64        0.00000000
 294           0.0294    0.11591584      -15.62720861      -15.51129277        287.08        0.00000000
 295           0.0295    0.11279176      -15.62696652      -15.51417475        279.35        0.00000000
 296           0.0296    0.13209562      -15.62716778      -15.49507215        327.16        0.00000000
 297           0.0297    0.12735093      -15.62754165      -15.50019071        315.41        0.00000000
 298           0.0298    0.10232438      -15.62826902      -15.52594464        253.42        0.00000000
 299           0.0299    0.11894136      -15.62843633      -15.50949496        294.58        0.00000000
 300           0.0300    0.13644202      -15.62879156      -15.49234955        337.92        0.00000000
 301           0.0301    0.11987243      -15.62792573      -15.50805330        296.88        0.00000000
 302           0.0302    0.10881291      -15.62812545      -15.51931254        269.49        0.00000000
 303           0.0303    0.12406784      -15.62906828      -15.50500043        307.27        0.00000000
 304           0.0304    0.14414888      -15.62957611      -15.48542723        357.01        0.00000000
 305           0.0305    0.14101727      -15.63023079      -15.48921352        349.25        0.00000000
 306           0.0306    0.11458919      -15.62971688      -15.51512769        283.80        0.00000000
 307           0.0307    0.12424323      -15.62961018      -15.50536695        307.71        0.00000000
 308           0.0308    0.12169809      -15.62936090      -15.50766280        301.41        0.00000000
 309           0.0309    0.12692084      -15.62966188      -15.50274104        314.34        0.00000000
 310           0.0310    0.12278060      -15.63010224      -15.50732164        304.09        0.00000000
 311           0.0311    0.09203983      -15.63067462      -15.53863479        227.95        0.00000000
 312           0.0312    0.13690996      -15.63068945      -15.49377949        339.08        0.00000000
 313           0.0313    0.12722906      -15.63084569      -15.50361663        315.10        0.00000000
 314           0.0314    0.12070519      -15.63051311      -15.50980792        298.95        0.00000000
 315           0.0315    0.12319758      -15.63056742      -15.50736984        305.12        0.00000000
 316           0.0316    0.13275528      -15.63065648      -15.49790121        328.79        0.00000000
 317           0.0317    0.13170922      -15.63025123      -15.49854201        326.20        0.00000000
 318           0.0318    0.11011589      -15.63025388      -15.52013799        272.72        0.00000000
 319           0.0319    0.12350541      -15.63030835      -15.50680295        305.88        0.00000000
